OWNERSHIP_TYPE,BUILDING_USE,LEASED,AGENCY,OWNERNAME,OWNERNAME2,ASSESSMENT,TAX_RATE,ANNUAL_TAX,RES,CONDO_LOT,LOT_SF,BOOK,PAGE,CONDO_REGIME,CONDO_BOOK,CONDO_PAGE,COMMENT_,PART_LOT,WARD,ANC,COMMENCE,EXPIRATION,LEASE,x,y
PRIVATE,OFFICE,Y,OPC,DWF V 1133 15TH LLC,,64308820,1.89,1215436.7,,N,20997,153,103,,,,PEOPLE'S COUNSEL.  STRAYER UNIVERSITY - WASHINGTON CAMPUS,N,2,ANC 2C,9/30/2011,11/29/2022,FILE_ID: 9018,,
PRIVATE,OFFICE,M,OCTO / OAG,AN METROPOLITAN OWNER LLC,,370795610,1.89,7008037.04,,N,66888,172,51,,,,"CITY-WIDE MESSAGING/DC-NET, 4TH & 5TH FLOORS, METROPOLITAN SQUARE, FLOOR 2.  MUTLIPLE ADDRESSES  MULTIPLE AGENCIES.  ID: 0809 (53658 SF) Commence 6/4/14, Expire 4/30/25; ID: 1118211 (171537 SF) Commence 11/18/21, Expire 2/28/34",N,2,ANC 2C,6/3/2014,4/29/2025,"FILE_ID: 0809, 11/18/21",,
PRIVATE,SHELTER,Y,DHS,MEMORIAL EVANGELICAL LUTHERAN CHURCH,,15277940,1.89,144376.54,,N,14584,183,6,,,,LUTHER PLACE NIGHT SHELTER,N,2,ANC 2F,,,N,,
PRIVATE,OFFICE,Y,OCTO,FRANKLIN COURT INC,,205664100,1.89,3887051.5,,N,43930,183,42,,,,CORESITE'S WASHINGTON DC DATA CENTER (DC2),N,2,ANC 2C,1/15/2020,3/30/2035,FILE_ID: 0116201,,
PRIVATE,OFFICE,M,DCPS / DCA / OIG,717 14TH STREET LLC,,41289790,1.89,780377.04,,N,11804,85,198,,,,"CHILD FIND, OFFICE OF THE AUDITOR, OFFICE OF THE INSPECTOR GENERAL.  900, 930 & 950, Floors 2, 4, & 5:  Additional Lease Commence = 8/28/2011, Expiration = 8/27/2021.  FileIDs:  1102, 1103  MULTIPLE AGENCIES.",N,2,ANC 2C,7/31/2011,7/30/2021,"FILE_ID: 1102, 1103",,
PRIVATE,OFFICE,Y,PSC,64 DCGST OWNER LLC,,145909140,1.89,2757682.76,,N,33332,151,16,,,,DC PUBLIC SERVICE COMMISION,N,2,ANC 2C,7/28/2014,12/20/2025,FILE_ID: 0613141,,
PRIVATE,OFFICE,Y,ODCA,JWDC LP,,253305700,1.89,4787477.74,,N,47719,3802,S,,,,"Office of the DC Auditor.  National Place, Portions of Floors 7 & 8, South Tower",N,2,ANC 2C,9/26/2021,12/11/2033,FILE_ID: 0927211,,
PRIVATE,OFFICE,Y,HBX,1225 EYE STREET NW ASSOCIATES LLC,,90746980,1.89,1715117.92,,N,21974,173,67,,,,HEALTH BENEFIT EXCHANGE AUTHORITY,N,2,ANC 2C,10/9/2014,10/30/2029,FILE_ID: 0718141,,
PRIVATE,RESIDENTIAL,Y,DHS,1009 11TH ASSOCIATES LLC,,7706800,1.77,136410.36,,N,5043,1568,*,,,,"Temporary Location for Patricia Handy Place for Women.  Basement, Floor 1-8.",N,2,ANC 2C,1/6/2021,7/30/2024,FILE_ID: 107211,,
PRIVATE,OFFICE,M,DMV,STONELEX C LLC,,102485270,1.89,1936971.6,,N,51741,3678,,,,,"ADJUDICATION SERVICES.  MULTIPLE ADDRESSES.  ID: 0105 (63917 SF) Commence 8/19/14, Expire 2/28/27; ID: 0606161 (31764 SF) Commence 6/6/16, Expire 6/30/27; ID: 0822161 (11014 SF) Commence 8/22/16, Expire 12/31/27",N,6,ANC 6D,8/18/2014,2/27/2027,"FILE_ID: 0105, 0606161, 0822161",,
PRIVATE,OFFICE,Y,DCRB,IBEW HEADQUARTERS BUILDING LLC,,153172500,1.89,2894960.26,,N,35344,3757,A,,,,PART OF LOT.   DISTRICT OF COLUMBIA RETIREMENT BOARD,Y,2,ANC 2C,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,BASIS SCHOOL INC,,17517640,1.89,0,,N,7700,3828,U,,,,BASIC DC PCS,N,2,ANC 2C,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,IMMACULATE CONCEPTION COMM DVLPMNT CORP,,4029380,1.65,0,,N,10001,,,,,,CENTER CITY PCS – SHAW,N,2,ANC 2G,,,N,,
PRIVATE,SHELTER,N,DHS,BISHOP CM BAILEY TRUSTEE,,2207090,0.85,18760.28,,N,2819,207,78,,,,HANNAH HOUSE SHELTER,N,2,ANC 2G,,,N,,
PRIVATE,OFFICE,Y,WCTC,JEMAL'S HERMANN LLC,,20358270,1.89,384771.3,,N,4695,,,,,,PART OF LOT.  WASHINGTON DC CONVENTION AND TOURISM CORPORATION,Y,2,ANC 2C,,,N,,
PRIVATE,OFFICE,Y,DGS,,,,,,,N,12486,201,71,,,,"Safe Commercial Corridor Hub in Chinatown, 1st Floor",N,2,ANC 2C,2/12/2024,2/11/2025,FILE_ID: 0208241,,
PRIVATE,OFFICE,Y,OAG,601 D STREET OWNER LLC,,210942730,1.89,3986817.6,,N,53560,149,1,,,,PATRICK HENRY BUILDING: ATTORNEY GENERAL OFFICE,N,2,ANC 2C,6/26/2019,7/29/2035,FILE_ID: 0627191,,
PRIVATE,OFFICE,Y,DCC,INDIANA ASSOCIATES,,58051730,1.89,1097177.7,,N,14241,189,50,,,,"DC PUBLIC DEFENDER SERVICE, PRETRIAL SERVICES AGENCY, COURT SERVICES AND OFFENDER SUPERVISION AGENCY",N,2,ANC 2C,,,N,,
PRIVATE,SHELTER,Y,DHS,810 5TH STREET LLC,,13124320,1.89,248049.66,,N,9483,210,70,,,,THE PATRICIA HANDY PLACE FOR WOMEN.  SHORT TERM FAMILY HOUSING 2,N,2,ANC 2C,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,400 VIRGINIA AVENUE LLC,,42663620,1.89,806342.42,,N,28001,143,14,,,,EAGLE ACADEMY PCS,N,6,ANC 6D,7/19/2020,12/30/2032,FILE_ID: 0306201,,
PRIVATE,CHARTER SCHOOL,Y,PSCB,FIVE TOW FIVE SCHOOL STREET ASSOCIATES LP,,8500690,1.77,150462.22,,N,10890,,,,,,WASHINGTON GLOBAL PCS,N,6,ANC 6D,,,N,,
PRIVATE,HOTEL,Y,DMPED,CITY PARTERS LLC,,15985755,1.89,302107.52,,N,0,,,,,,HYATT PLACE HOTEL,N,6,ANC 6D,,,N,,
PRIVATE,OFFICE,Y,DYRS,450 H STREET LLC,37 EAST 450 H LLC,10576370,1.89,199893.4,,N,3834,175,51,,,,DEPARTMENT OF YOUTH REHABILITATION SERVICES,N,6,ANC 6E,6/30/2014,6/29/2025,FILE_ID: 0106,,
PRIVATE,OFFICE,Y,USAO,N.S.P. VENTURES CORP,,101751770,1.89,1923108.46,,N,47921,172,159,,,,UNITED STATES ATTORNEY'S OFFICE FOR DC,N,6,ANC 6E,,,N,,
PRIVATE,OFFICE,M,DPW / DDS,250 E STREET LLC,,141149330,1.89,2667722.34,,N,51027,3744,A,,,,"DPW SOILD WASTE EDUCATION AND ENFORCEMENT (SWEEP) / DC DEPARTMENT ON DISABILITY SERVICES (DDS)  MULTIPLE AGENCIES.  ID: 0624161 (18990 SF) Commence 6/24/16, Expire 6/30/25; ID: 1109151 (101982 SF) Commence 11/9/15, Expire 3/31/28",N,6,ANC 6D,6/23/2016,6/29/2025,"FILE_ID: 0624161, 1109151",,
PRIVATE,LIBRARY,Y,DCPL,WATERFRONT 425 M STREET LLC,,15007380,1.89,283639.48,,N,46768,3837 & 3838,W & B,,,,SOUTHWEST INTERIM LIBRARY,N,6,ANC 6D,2/28/2019,10/30/2020,FILE_ID: 1130181,,
PRIVATE,OFFICE,Y,OCFO,USGBF WATERFRONT STATION LLC,,165763300,1.89,3132926.38,,N,101766,3837 & 3838,W & B,,,,"OCFO HEADQUATERS, FLOOR 8",N,6,ANC 6D,10/26/2021,10/30/2040,FILE_ID: 0705 - West,,
PRIVATE,OFFICE / ATM,Y,OP/ PERB/ DOB/ DLCP/ OEA,USGBF WATERFRONT STATION LLC,,166562290,1.89,3148027.28,,N,133048,3860,P,,,,"DC GOVERNMENT OFFICES (OP / PERB / DOB / DLCP / OEA).  FLOOR 2-8, SUBLEASE TO ATM - DC DOES NOT OWN LOT.  MULTIPLE AGENCIES.  Access One Solutions, Inc.",N,6,ANC 6D,10/26/2021,10/30/2040,GROSS / LEASE,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,FRIENDSHIP PUBLIC CHARTER SCHOOL INC,,17991530,1.89,0,,N,113416,3613,R,,,,FRIENDSHIP PCS - ARMSTRONG ELEMENTARY,N,5,ANC 5E,,,N,,
PRIVATE,RECREATION CENTER,Y,DPR,CAPITOL CROSSING II LLC,,175692250,1.89,3320583.54,,N,63151,3859,G,,,,PART OF LOT.  SHARE COMPUTER CENTER.  ADDRESS IS RETIRED,Y,6,ANC 6E,,,N,,
PRIVATE,OFFICE,Y,DGS,CAPITOL CROSSING I LLC,,151104600,1.89,2855876.94,,N,44355,3859,G,,,,"American Petroleum Institute.  Offices 07-161, 07-162 & 07-163, Floor 7",N,6,ANC 6E,5/31/2021,5/30/2024,FILE_ID: 0601211,,
PRIVATE,SHELTER,Y,DHS,CCNV,,2335570,1.65,0,,N,2160,B,160,,,,JOHN YOUNG CENTER WOMEN'S SHELTER,N,6,ANC 6E,,,N,,
PRIVATE,SPECIAL USE,N,DC WATER,STEVART INVESTMENT COMPANY,,8533470,1.77,151042.42,,N,28221,185,129,,,,POTOMAC SALT YARD,N,6,ANC 6D,,,N,,
PRIVATE,OFFICE,M,DBH / DHS / DMH / DOH,64 NY DC OWNER LLC,,168071150,1.89,3176544.74,,N,129284,210,109,,,,"DEPARTMENT OF HUMAN SERVICES, DEPARTMENT OF MENTAL HEALTH, DEPARTMENT OF BEHAVIORAL HEALTH, ID: 0103-A (154360 SF) Commence 9/1/12, Expire 1/10/27; ID: 0103-B (171537 SF) Commence 8/1/15, Expire 1/10/27.  MULTIPLE AGENCIES.",N,5,ANC 5F,8/31/2012,1/9/2027,"FILE_ID: 0103-A, 0103-B",,
PRIVATE,OFFICE,M,DDOE / DCPS,VEF-VN CAPITOL PLAZA I LLC,,157137460,1.89,2969898,,N,34405,3858,O,,,,"DEPARTMENT OF ENERGY AND ENVIRONMENT HEADQUARTERS / DC PUBLIC SCHOOL HEADQUARTERS  MULTIPLE AGENCIES.  ID: 904 (199822 SF) Commence 3/1/10, Expire 2/28/30; ID: 1121231 (1 SF) Commence 11/21/23, Expire 2/28/30",N,6,ANC 6E,2/28/2010,2/27/2030,"FILE_ID: 0904, 1121231",,
PRIVATE,OFFICE,M,OSSE,SENTINEL SQUARE HANA OW L L C,,124932410,1.89,2361222.56,,N,29606,3838,N,,,,"OSSE HQ. ID: 1229161 Floors 2-6,8  PT of Floors 1 & 7 (164110 SF) Commence: 9/29/17, Exprie: 2/28/29; ID: 0804231 P-205, P1 Garage (384 SF) Commence: 8/16/23, Exprie: 2/15/24; ID: 0610221 P-305 & P3 Garage (384 SF) Commence: 6/3/22, Exprie: 6/2/24",N,6,ANC 6E,6/2/2022,6/1/2024,"FILE_ID: 1229161, 0804231, 0610221",,
PRIVATE,OFFICE,Y,OSSE/ RSA/ DISB/ DC WATER,O-SB ONE UNION OWNER LLC,,50204460,1.89,948864.3,,N,44212,3739,F,,,,"UNION CENTER PLAZA OFFICES (DCWATER, OSSE, RSA, DISB).  LEASED BUILDING  MULTIPLE AGENCIES.",N,6,ANC 6E,,,N,,
PRIVATE,OFFICE,Y,DOH/OP/OTA/ABCA/DOES/FEMS,US UNION SQUARE DC 899 LLC,,108112130,1.89,2043319.26,,N,50715,3858,P,,,,"DC OFFICES (OP, O-SECRETARY(OS), DC FEMS, OTA, ABCA, DOES).  AMERICAN JOB CENTER.  MULTIPLE ADDRESSES",N,6,ANC 6E,2/28/2011,2/27/2021,FILE_ID: 1230201,,
PRIVATE,OFFICE,M,BOE / DCHR,HGIT 1015 HALF STREET LLC,,192156200,1.89,3611752.18,,N,45649,202,79,,,,"BOE HEADQUARTERS / DCHR HEADQUARTERS.  ID: 07066151 6th Fl (9430 SF) Commence: 7/6/15, Exprie: 6/30/26; ID: 0717171 7-9th Fl (126218 SF) Commence: 7/17/17, Exprie: 5/31/29; ID: 1228202 10th Fl (43192 SF) Commence: 12/28/20, Expire: 4/30/33",N,6,ANC 8F,12/27/2020,4/29/2033,"FILE_ID: 1104, 0706151, 1228202, 0717171",,
PRIVATE,OFFICE,Y,DC WATER,WELLS REIT II 80 M STREET LLC,,114811010,1.89,2169928.1,,N,45118,156,3,,,,M STREET OFFICE.  LEASED BUILDING,N,6,ANC 8F,,,N,,
PRIVATE,TRANSPORTATION,Y,MPD,STEUART INVESTMENT COMPANY,,20596770,1.89,389278.96,,N,42208,4,1153,,,,AIR SUPPORT OPERATIONS UNIT.  LEASED HELIPORT,N,6,ANC 6D,9/30/2017,1/30/2025,FILE_ID: 1121171,,
PRIVATE,OFFICE,Y,DPR,WASHINGTON DC IV FGF LLC,,101188360,1.89,1912460,,N,37051,3837 & 3838,"(T,U,V) & C",,,,DEPARTMENT OF PARKS AND RECREATION HEADQUATERS,N,6,ANC 6E,6/26/2018,8/30/2030,FILE_ID: 0627183,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,WHATâ€™S ON SECOND PROPERTIES LLC,WHATS ON SECOND PROPERTIES LLC,107493360,0.85,913693.56,,N,24707,217,145,,,,EAGLE ACADEMY PCS - NEW JERSEY AVENUE,N,6,ANC 8F,,,N,,
PRIVATE,OFFICE,Y,DGS,SQUARE 743 INC,NW 100 M STREET LLC,112335460,1.89,2123140.2,,N,26282,201,65,,,,DISTRICT COUNCIL 20 AFSCME,N,6,ANC 8F,12/27/2020,3/30/2034,FILE_ID: 1228201,,
PRIVATE,OFFICE,Y,DDOT,SQUARE 769 LLC,,101886930,1.89,1925662.98,,N,27954,215,45,,,,"DEPARTMENT OF TRANSPORTATION HEADQUATERS.    1st, 5th & 6th Floors:  Lease Commence = 11/9/2015, Expiration = 3/31/2018; 4th Floor, P-3 Level:  Lease Commence = 6/24/2016, Expiration = 6/30/2025.  Additional Lease Commence = 2/10/2018, Expiration = *",N,8,ANC 8F,12/9/2018,2/28/2036,"FILE_ID: 1109151, 0624161, 1210181",,
PRIVATE,CHARTER SCHOOL,Y,PCSB,TWO RIVERS PUBLIC CHARTER SCHOOL INC,,18543580,1.89,0,,N,13999,,,,,,TWO RIVERS PCS,N,6,ANC 6C,,,N,,
PRIVATE,OFFICE,Y,DHS / DBH,609 H ST NE BLDG PJV LLC,,24570900,1.89,464390.02,,N,18029,3853,T,,,,EBT TRAINING & FOOD STAMP OFFICE / DEPARTMENT OF METAL HEALTH HEADQUARTERS.  MULTIPLE ADDRESSES  MULTIPLE AGENCIES.,N,6,ANC 6C,,,N,,
PRIVATE,OFFICE,Y,DHS,U S REIF 645 H STREET WASHINGTON DC LLC,,47754220,1.89,902554.76,,N,17905,3853,T,,,,H STREET ECONOMIC SECURITY ADMINISTRATION (ESA) SERVICE CENTER/EX-OFFENDER AFFAIRS & OFFICE ON RETURNING CITIZEN AFFAIRS,N,6,ANC 6C,2/3/2015,2/27/2029,FILE_ID: 8517B,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,770 M STREET LLC,,27887520,1.89,527074.14,,N,71256,35,136,,,,RICHARD WRIGHT PCS FOR JOURNALISM AND MEDIA ARTS,N,8,ANC 8F,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,APPLETREE INSTITUTE FOR EDUCATION INNOVATION INC,,1387820,1.65,0,,N,4230,201,72,,,,APPLETREE EARLY LEARNING PCS - LINCOLN PARK,N,6,ANC 6A,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,ESP WAREHOUSE LLC,,5182580,1.77,91731.68,,N,12896,3165,*,,,,CESAR CHAVEZ PCS FOR PUBLIC POLICY – CAPITOL HILL,N,6,ANC 6B,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,KINGSMAN ACADEMY PUBLIC CHARTER SCHOOL,,33951960,1.89,320846.02,,N,75462,197,24,,,,OPTIONS PCS,N,6,ANC 6A,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,FRIENDSHIP PUBLIC CHARTER SCHOOL,,11936890,1.89,0,,N,46577,3120,P,,,,FRIENDSHIP (CHAMBERLAIN ELEMENTARY & MIDDLE SCHOOL) PCS,N,6,ANC 6B,,,N,,
PRIVATE,CORRECTIONAL,Y,DOC,WILLIAM G BASILIKO TRUSTEE,JOHN M SWAGART JR TRUSTEE,3109690,1.65,51309.9,,N,8884,3680,N,,,,FAIRVIEW HALFWAY HOUSE,N,6,ANC 6A,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON,,10814460,1.89,0,,N,43936,1294,*,,,,CENTER CITY PCS - CAPITOL HILL,N,7,ANC 7D,,,N,,
PRIVATE,RESIDENTIAL GROUNDS,N,DOH,1901 C STREET SE LLC,,1377800,0.85,11711.3,,N,10759,3870,P,,,,PARK KENNEDY APARTMENTS GROUNDS,N,7,ANC 7F,,,N,,
PRIVATE,RESIDENTIAL / RETAIL,N,DOH,1901 C STREET SE LLC,,73698200,0,658979.84,,N,76856,3870,P,,,,PARK KENNEDY APARTMENTS / DINING (SALSA THAI / DUFFY'S IRISH PUB),N,7,ANC 7F,,,N,,
PRIVATE,RESIDENTIAL,N,DHS,ETHEL DC LLC,,2179120,0.85,1808.22,,N,21614,3870,P,,,,THE ETHEL SUPPORTIVE HOUSING,N,7,ANC 7F,,,N,,
PRIVATE,RESIDENTIAL,N,DHS,ETHEL DC LLC,,27668720,1.89,44556.74,,N,39248,3870,P,,,,THE ETHEL SUPPORTIVE HOUSING,N,7,ANC 7F,,,N,,
PRIVATE,OFFICE,Y,DMV,JAMESTOWN PREMIER GEORGETOWN PARK CORP,,73359800,1.89,1386500.22,,N,8754,3718,*,,,,"GEORGETOWN SERVICE CENTER, CANAL LEVEL.  MULTIPLE ADDRESSES",N,2,ANC 2E,1/23/2014,3/30/2029,FILE_ID: 1112,,
PRIVATE,ANTENNA,Y,DGS,ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON,,25934550,1.89,0,,N,102764,154,193,,,,LEASED ANTENNA ABOVE ST. ALBAN'S EARLY CHILDHOOD CENTER,N,3,ANC 3E,,,N,,
PRIVATE,OFFICE,Y,MPD,JUBILEE HOUSING INC,,6524480,1.77,25705.66,,N,16271,SUB,72,,,,LATINO LIAISON UNIT.  LEASED BUILDING,N,1,ANC 1C,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,MC2 COMMUNITY DEVELOPMENT CORPORATION,,3468520,1.65,28615.29,,N,9070,3488,T,,,,BRIYA PCS - NORTHWEST,N,1,ANC 1C,,,N,,
PRIVATE,RESIDENTIAL,N,DHCD,PLAZA WEST COOPERATIVE & DISTRICT OF COLUMBIA,,10957630,0.85,49522.28,,N,17681,67,*,,,,PLAZA WEST COOPERATIVE,N,1,ANC 1C,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,THE HOLY SPRIT ASSOCITION FOR UNIFICATION OF WOLD CHRISTIANITY,,13987550,1.89,0,,N,23338,209,69,,,,DISTRICT OF COLUMBIA INTERNATIONAL SCHOOL,N,1,ANC 1D,,,N,,
PRIVATE,PUBLIC HOUSING,N,DCHA,COLORADO COLUMBIA LLC,,3892550,0.85,0,,N,11423,790,*,,,,COLUMBIA ROAD APARTMENTS,N,1,ANC 1A,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,"THE NEXT STEP PUBLIC CHARTER SCHOOL, INC",,10835450,1.89,0,,N,12085,3808,Q,,,,THE NEXT STEP / EL PROXIMO PASO & LAYC CAREER ACADEMY PCS,N,1,ANC 1A,,,N,,
PRIVATE,EMERGENCY FAMILY SHELTER,Y,DHS,PARK REDEVELOPMENT LP,,6390230,0.85,54316.96,,N,8907,56,93,,,,NEW BEGINNINGS SHORT TERM FAMILY HOUSING,N,1,ANC 1A,,,N,,
PRIVATE,SHELTER,Y,DHS,ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON,,7452490,1.77,0,,N,33688,1443,*,,,,NATIVITY WOMEN'S SHELTER,N,1,ANC 1A,,,N,,
PRIVATE,PUBLIC HOUSING,N,DCHA,COLORADO COLUMBIA LLC,,2973770,0.85,0,,N,12768,969,*,,,,COLORADO APARTMENTS,N,4,ANC 4E,,,N,,
PRIVATE,OFFICE,Y,DYRS,THE GREATER WASHINGTON URBAN LEAGUE INCORPORATED,,9879330,1.77,0,,N,20095,SUB,76,,,,DYRS FACILITY.  MULTIPLE ADDRESSES,N,1,ANC 1A,9/30/2012,1/30/2021,FILE_ID: 0601,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,EUPHEMIA L HAYNES PUBLIC CHARTER SCHOOL INC,,21741300,1.89,205455.29,,N,18407,201,85,,,,E.L. HAYNES PCS - MIDDLE SCHOOL,N,1,ANC 1E,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,MC 2 COMMUNITY DEVELOPMENT CORPORATION,,1236520,1.65,10201.29,,N,21663,3846,Z,,,,BRIDGES PCS,N,4,ANC 4C,,,N,,
PRIVATE,OFFICE,M,DHS,HIMMELFARB PROPERTIES INC,,7059690,1.77,124956.52,,N,15498,3223,K,,,,"TAYLOR STREET ECONOMIC SECURITY ADMINISTRATION (ESA) SERVICE CENTER.  MULTIPLE ADDRESSES.  Previous Lease Commence = 6/15/2015, Expiration = 2/14/2021.  FileIDs:  1123201, 0401151",N,4,ANC 4C,10/11/2021,8/30/2037,"FILE_ID: 1123201, 0401151",,
PRIVATE,CHARTER SCHOOL,Y,PCSB,ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON,,11077000,1.89,0,,N,90651,2346,*,,,,CENTER CITY PCS – BRIGHTWOOD,N,4,ANC 4A,,,N,,
PRIVATE,OFFICE,Y,DDS / ODAR,JEMAL'S GATEWAY DC LLC,,14670190,1.89,277266.6,,N,87523,,,,,,DC SOCIAL SECURITY FIELD OFFICE  MULTIPLE AGENCIES.,N,4,ANC 4A,,,N,,
PRIVATE,HEALTHCARE,Y,DOH,NASPIRA MEDICAL HOLDINGS LLC,,10067750,1.89,190280.48,,N,33957,SUB,110,,,,METROPOLITAN MEDICAL CENTER.  LEASED BUILDING,N,4,ANC 4B,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,HOWARD UNIVERSITY  (LAND ONLY),,266572300,1.89,0,,N,1337393,162,24,,,,HOWARD UNIVERSITY MIDDLE SCHOOL OF MATHEMATICS AND SCIENCE PCS,N,1,ANC 1E,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON,,14996720,1.89,0,,N,103842,1757,*,,,,CENTER CITY PCS – PETWORTH,N,4,ANC 4C,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,BERNIDA L THOMPSON TRUSTEE,,963050,1.65,15890.34,,N,6000,132,24,,,,ROOTS ACTIVITY LEARNING CENTER PCS,N,4,ANC 4B,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,15 KENNEDY STREET ASSOCIATES LP,,2159810,1.65,35636.88,,N,19688,193,189,,,,ROOTS PUBLIC CHARTER SCHOOL PCS,N,4,ANC 4B,,,N,,
PRIVATE,OFFICE,Y,DGS,60 FLORIDA AVENUE NE LLC,,15892230,1.89,300363.16,,N,27207,1568,*,,,,FLORIDA AVENUE NE STREETSCAPE,N,5,ANC 5F,12/14/2022,3/30/2044,FILE_ID: 1215221,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON,,4791350,1.65,0,,N,10617,202,154,,,,HARMONY DC PCS.  ADDRESS IS RETIRED,N,5,ANC 5F,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,COMMUNITY CAPITAL CORPORATION,,21889840,1.89,0,,N,35465,3855,E,,,,CARLOS ROSARIO INTERNATIONAL PCS - NORTHEAST,N,5,ANC 5F,,,N,,
PRIVATE,CHARTER SCHOOL / RESIDENTIAL,Y,PSCB / DCHFA,EDGEWOOD TERRACE ONE LLC,,32209570,0.85,81559.46,,N,197507,3614,S,,,,ACADEMY OF HOPE PCS - NORTHEAST / EDGEWOOD TERRACE I.  MULTIPLE ADDRESSES,N,5,ANC 5F,,,N,,
PRIVATE,RESIDENTIAL,Y,CFSA,EDGEWOOD 611/GARDENS LLC,,22824650,0.85,0,,N,165144,3884,N,,,,THE VISTA AT EDGEWOOD,N,5,ANC 5F,,,N,,
